id,target
00034db451c4,tensor(0.0056)
0006316b5ca0,tensor(0.0031)
0006a953d21b,tensor(0.0019)
0008a33d6695,tensor(0.0145)
00095b5119fc,tensor(0.0065)
000c99f1a336,tensor(0.0104)
000cb84d12e4,tensor(0.0029)
000df2799b46,tensor(0.0029)
000e43012936,tensor(0.0056)
001004691ca1,tensor(0.0070)
001079f916aa,tensor(0.0029)
0010ba102af6,tensor(0.0002)
001362ee8003,tensor(0.0067)
00146b90b615,tensor(0.0014)
0014cec328e2,tensor(0.0006)
0017fde8aac6,tensor(0.0042)
001abaa506e0,tensor(0.0210)
001d29c82d80,tensor(0.0047)
001d7eb3f9cb,tensor(1.0000)
001e82ba9d4a,tensor(0.0028)
001ff76166aa,tensor(1.0000)
002081441070,tensor(0.0004)
002993108442,tensor(0.0003)
002aa50ee6f8,tensor(0.0023)
002c8b6ca2e0,tensor(0.0008)
002c8e761d37,tensor(0.0055)
002cc96b1041,tensor(0.0023)
002d5868b367,tensor(0.9997)
002f61bfb7bc,tensor(0.0066)
00308b3bb6c1,tensor(0.0061)
003158b73592,tensor(0.0004)
0035fec8b66c,tensor(0.0017)
003642d935de,tensor(0.0017)
00369b7adbb0,tensor(0.0076)
0038bd619d2e,tensor(0.0096)
003954c7e391,tensor(0.9998)
0039db15867a,tensor(0.0189)
003b5326af50,tensor(0.6821)
003d449ce211,tensor(0.0295)
003e2ff24826,tensor(0.0170)
00426b858d0f,tensor(0.0018)
0048665c3d4b,tensor(0.0287)
00490c163a81,tensor(0.0004)
004a64b5f80b,tensor(0.0023)
004b61a2cb4a,tensor(0.0137)
004c5b3fee8b,tensor(0.0058)
004d18dd0a8f,tensor(0.0024)
004fd85f815e,tensor(0.7083)
004ffa352164,tensor(0.0073)
00514562e9f5,tensor(0.0028)
00540e056868,tensor(0.0326)
0054f701205f,tensor(0.0008)
00590ab75c5a,tensor(0.0029)
005d3ddc13e8,tensor(0.0014)
005dcee1f5e6,tensor(0.0043)
005de9e5e4e4,tensor(0.0055)
005e0a2d415b,tensor(0.9922)
005e68b19159,tensor(0.7260)
005e6a127258,tensor(0.8645)
005f27d56543,tensor(0.0043)
0066c77058e7,tensor(0.9876)
006b71f5f5d5,tensor(0.0123)
006c9714ee57,tensor(0.0071)
006e17e9c8c8,tensor(0.0074)
006f083fe7fc,tensor(0.0511)
006f9d4f4dd4,tensor(0.9999)
007145d98dd7,tensor(0.0094)
00718207ac54,tensor(0.0008)
0073f705904b,tensor(0.0016)
0077752b77a4,tensor(0.0036)
0077d7d02cd6,tensor(0.0579)
00781f951b9c,tensor(0.0040)
007a51059ce8,tensor(0.0017)
007f276f3736,tensor(0.0011)
007fbf319b1f,tensor(0.0021)
00800bea3d72,tensor(0.0039)
0081edfe7688,tensor(1.0000)
0083559b8d51,tensor(0.0616)
00850965ce8a,tensor(1.)
0086c2ef4c58,tensor(0.0002)
0088d82327b3,tensor(0.0023)
0089870c2a85,tensor(0.0010)
0089ff637c53,tensor(1.)
008baa558d52,tensor(0.0015)
009110105b31,tensor(0.0036)
0091ae0f941e,tensor(0.9936)
0094bea627b4,tensor(1.0000)
0095262c72b1,tensor(1.0000)
0095deaddd8a,tensor(0.0028)
0097a3ee9336,tensor(0.0024)
009f1ddc7dd8,tensor(0.0033)
00a3d3d7c6d3,tensor(0.0038)
00a4afe9d9ff,tensor(0.0018)
00a4d630ee4d,tensor(0.0118)
00a8ed0ce01c,tensor(0.0153)
00abedfe840c,tensor(1.0000)
00b2015c1986,tensor(0.9998)
00b390c0b75b,tensor(0.0172)
00b520f952c3,tensor(0.0152)
00b6ec6111b5,tensor(0.0045)
00b88812e579,tensor(0.0039)
00baf533f415,tensor(0.0304)
00be5070dc9a,tensor(0.0013)
00c021885c4b,tensor(0.0097)
00c0b3cc5102,tensor(0.0029)
00c2897b6b7b,tensor(0.0061)
00c414bcc3c0,tensor(0.0023)
00c572352cf0,tensor(0.0891)
00c5d352f5f6,tensor(0.0016)
00c744f1f4de,tensor(0.8748)
00c82df9b194,tensor(0.0013)
00c87d6963d6,tensor(0.0112)
00caa71fed46,tensor(0.0054)
00d406959986,tensor(0.0023)
00d7ed0df98d,tensor(0.0009)
00dbc4a949de,tensor(0.0031)
00defebd71aa,tensor(1.0000)
00e4c4f5e9c8,tensor(0.0353)
00e7b0db713c,tensor(0.0090)
00e81a0a563c,tensor(0.0210)
00e8d4b3edff,tensor(0.0042)
00eab7c160af,tensor(1.0000)
00f16a989f13,tensor(0.0108)
00f54037fa37,tensor(0.0027)
00f6e15028e5,tensor(0.0026)
00f8087503e4,tensor(0.0033)
00f9d6d6f1e8,tensor(1.0000)
00fa064fdd1e,tensor(0.0022)
00fefd66059d,tensor(0.0221)
00ff670d435f,tensor(0.0079)
0102789b1c4a,tensor(0.9978)
0103226ae949,tensor(0.0013)
0105558362b9,tensor(0.0023)
0105a0fcea8e,tensor(0.0060)
010a614ebf5a,tensor(0.0051)
010ce3d0cd23,tensor(0.0028)
010f58a3cba8,tensor(1.0000)
011360572aac,tensor(0.0027)
01150b7578c4,tensor(0.0029)
011888b879b1,tensor(0.0124)
011b2e6104fd,tensor(0.0106)
011c78a336f2,tensor(0.0040)
0122567cae2a,tensor(0.6197)
0122cd2a7334,tensor(0.0010)
012a03b79ea3,tensor(0.0016)
012b6fb7d34d,tensor(0.0061)
012ddbaf23fd,tensor(0.0185)
013315e8a759,tensor(0.0365)
0133d714e633,tensor(0.0062)
0138bebecc75,tensor(0.0032)
013bb81cc243,tensor(0.0188)
013bcc706f7e,tensor(0.0018)
013e8f6e7dc8,tensor(0.9994)
01416bd180e4,tensor(0.0036)
014490bf5bcd,tensor(0.0024)
0146f8fe5e97,tensor(0.0034)
014a5fc54414,tensor(0.4427)
014b6d7eed90,tensor(0.0027)
014c4e9be1b9,tensor(0.0013)
0153adb8260f,tensor(1.)
01542ff4ac2d,tensor(0.0161)
015433e5e1d1,tensor(0.0007)
015634a245c6,tensor(0.0063)
0159002288d2,tensor(0.0022)
015b31cf11f8,tensor(0.0011)
015c2185f1a3,tensor(0.0001)
015cd5b49d5a,tensor(0.0015)
015e57ba27b5,tensor(0.0006)
015eac57e5c7,tensor(0.0099)
015eada32026,tensor(0.0035)
015ef3a6f4b9,tensor(1.0000)
015fdc5a4bef,tensor(0.0045)
01628e125741,tensor(0.0021)
0164ab76a9ae,tensor(0.0050)
016617fc68fb,tensor(0.0008)
016aa9751b02,tensor(0.0026)
016bb1344a33,tensor(0.0056)
016bf8e0124d,tensor(0.0086)
016d7d92c51d,tensor(0.0019)
016f3856249f,tensor(1.0000)
016fbea5e789,tensor(0.0057)
017227103642,tensor(0.9912)
01739dd401b5,tensor(0.0034)
01752b44efef,tensor(0.0026)
0175484762e0,tensor(0.0010)
0177b82c6ac3,tensor(0.2975)
0177d402c3ca,tensor(0.0016)
0177ffc978d6,tensor(0.0018)
0178af017b4e,tensor(0.0031)
0179ac03025d,tensor(0.0088)
017b68cb772a,tensor(0.0302)
017be7070744,tensor(0.0026)
017cf7c5cc8a,tensor(0.0032)
017f3c1b7e6a,tensor(0.0119)
0181512d20d6,tensor(0.0003)
0181bd6f4a7d,tensor(0.0024)
018243b27008,tensor(0.0048)
0183c9cdf8a3,tensor(0.0028)
01843ee8858f,tensor(1.0000)
0189101bbaf3,tensor(0.0012)
0189f2bffa7c,tensor(0.0116)
018b790d7570,tensor(0.0053)
018b7a6490c5,tensor(0.0055)
018b811ade78,tensor(0.0072)
018c1ddf36db,tensor(0.0003)
0190e9a82ded,tensor(0.0054)
0192f4f30391,tensor(0.9989)
019346c62922,tensor(0.0333)
01935ff11e97,tensor(0.0150)
0194e10636e0,tensor(0.0011)
019518b13b2e,tensor(0.0021)
019641028e2f,tensor(0.0047)
019712f288d0,tensor(1.0000)
01973911d7d7,tensor(0.0012)
01977f3a8cba,tensor(0.0210)
019b7857252c,tensor(0.0105)
019dfd3d2fee,tensor(0.0013)
019e3fdd09d6,tensor(0.0557)
01a0806c5272,tensor(0.0006)
01a141c885b0,tensor(0.0013)
01a38392eb3d,tensor(0.0025)
01a520f011f3,tensor(0.0051)
01a6556d5c43,tensor(1.0000)
01a756649135,tensor(0.0044)
01a7af32adc1,tensor(1.0000)
01a89ba823a6,tensor(0.0030)
01a93e0bc511,tensor(0.0778)
01aa21dbb78f,tensor(0.0015)
01abe9f5934d,tensor(0.0029)
01ad3d01e4b3,tensor(0.0055)
01b08b080028,tensor(0.0035)
01b1520c0d2e,tensor(0.0006)
01b3c17ebf2a,tensor(0.0011)
01b549ea1d4e,tensor(0.0048)
01b6e596dcdb,tensor(0.0023)
01bac9f50f4d,tensor(0.0042)
01bbaac1c4b2,tensor(0.0015)
01bbdb130090,tensor(0.0157)
01bd3c477c0c,tensor(0.0006)
01be89e38a3a,tensor(0.0005)
01bff7cb9981,tensor(0.0039)
01c192c28020,tensor(0.0243)
01c4a23bd180,tensor(0.0029)
01c557da0e11,tensor(0.0010)
01c9c0acfecf,tensor(0.0046)
01c9d75784d7,tensor(0.0166)
01cb67dfd95f,tensor(0.0042)
01cb81be853b,tensor(0.0067)
01cf324b4ca1,tensor(0.0005)
01d237c8c81d,tensor(0.0016)
01d591988b4f,tensor(0.0006)
01d8cef8b13e,tensor(0.9407)
01dd615d8d49,tensor(0.0187)
01dd92b47f7b,tensor(0.0052)
01de883c2d82,tensor(0.0157)
01de92d0a0f8,tensor(0.0430)
01dfc954e414,tensor(0.0010)
01e07e385256,tensor(0.0020)
01e20dfaa99f,tensor(0.0010)
01e4f147989a,tensor(0.0031)
01e7b66664fb,tensor(0.0058)
01e87da0ab92,tensor(0.9999)
